@RELATION CharacterFilter

@ATTRIBUTE init         string
@ATTRIBUTE alternate    string
@ATTRIBUTE result 	{0, 1}

@DATA
'The quick brown fox jumps over the lazy dog.','w',0
'The quick brown fox jumps ower the lazy dog.','v',1
'The quick brown fox jumps over the lazy dog.','u',0
'The quick brown fox jumps ovur the lazy dog.','e',1
'The quick brown fox jumps over the lazy dog.','m',0
'The quick brown fox jumps ovmr the lazy dog.','e',1
'The quick brown fox jumps over the lazy dog.','f',0
'The quick brown fox jumps ovfr the lazy dog.','e',1
'The quick brown fox jumps over the lazy dog.','s',0
'The quick brown fox jumps oves the lazy dog.','r',1
'The quick brown fox jumps over the lazy dog.','0',0
'The quick brown fox jumps over0the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','"',0
'The quick brown fox jumps over"the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','!',0
'The quick brown fox jumps over!the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','u',0
'The quick brown fox jumps over uhe lazy dog.','t',1
'The quick brown fox jumps over the lazy dog.','p',0
'The quick brown fox jumps over tpe lazy dog.','h',1
'The quick brown fox jumps over the lazy dog.','i',0
'The quick brown fox jumps over tie lazy dog.','h',1
'The quick brown fox jumps over the lazy dog.','u',0
'The quick brown fox jumps over thu lazy dog.','e',1
'The quick brown fox jumps over the lazy dog.','m',0
'The quick brown fox jumps over thm lazy dog.','e',1
'The quick brown fox jumps over the lazy dog.','f',0
'The quick brown fox jumps over thf lazy dog.','e',1
'The quick brown fox jumps over the lazy dog.','0',0
'The quick brown fox jumps over the0lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','"',0
'The quick brown fox jumps over the"lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','!',0
'The quick brown fox jumps over the!lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','t',0
'The quick brown fox jumps over the tazy dog.','l',1
'The quick brown fox jumps over the lazy dog.','m',0
'The quick brown fox jumps over the mazy dog.','l',1
'The quick brown fox jumps over the lazy dog.','q',0
'The quick brown fox jumps over the lqzy dog.','a',1
'The quick brown fox jumps over the lazy dog.','i',0
'The quick brown fox jumps over the lizy dog.','a',1
'The quick brown fox jumps over the lazy dog.','b',0
'The quick brown fox jumps over the lbzy dog.','a',1
'The quick brown fox jumps over the lazy dog.','z',0
'The quick brown fox jumps over the lazz dog.','y',1
'The quick brown fox jumps over the lazy dog.','0',0
'The quick brown fox jumps over the lazy0dog.',' ',1
'The quick brown fox jumps over the lazy dog.','"',0
'The quick brown fox jumps over the lazy"dog.',' ',1
'The quick brown fox jumps over the lazy dog.','!',0
'The quick brown fox jumps over the lazy!dog.',' ',1
'The quick brown fox jumps over the lazy dog.','t',0
'The quick brown fox jumps over the lazy tog.','d',1
'The quick brown fox jumps over the lazy dog.','l',0
'The quick brown fox jumps over the lazy log.','d',1
'The quick brown fox jumps over the lazy dog.','e',0
'The quick brown fox jumps over the lazy eog.','d',1
'The quick brown fox jumps over the lazy dog.','w',0
'The quick brown fox jumps over the lazy dwg.','o',1
'The quick brown fox jumps over the lazy dog.','p',0
'The quick brown fox jumps over the lazy dpg.','o',1
'The quick brown fox jumps over the lazy dog.','w',0
'The quick brown fox jumps over the lazy dow.','g',1
'The quick brown fox jumps over the lazy dog.','o',0
'The quick brown fox jumps over the lazy doo.','g',1
'The quick brown fox jumps over the lazy dog.','h',0
'The quick brown fox jumps over the lazy doh.','g',1
'The quick brown fox jumps over the lazy dog.','6',0
'The quick brown fox jumps over the lazy dog6','.',1
'The quick brown fox jumps over the lazy dog.','0',0
'The quick brown fox jumps over the lazy dog0','.',1
'The quick brown fox jumps over the lazy dog.','/',0
'The quick brown fox jumps over the lazy dog/','.',1
'This is a sample sentence, with a dependent clause.','d',0
'dhis is a sample sentence, with a dependent clause.','T',1
'This is a sample sentence, with a dependent clause.','X',0
'Xhis is a sample sentence, with a dependent clause.','T',1
'This is a sample sentence, with a dependent clause.','U',0
'Uhis is a sample sentence, with a dependent clause.','T',1
'This is a sample sentence, with a dependent clause.','p',0
'Tpis is a sample sentence, with a dependent clause.','h',1
'This is a sample sentence, with a dependent clause.','i',0
'Tiis is a sample sentence, with a dependent clause.','h',1
'This is a sample sentence, with a dependent clause.','q',0
'Thqs is a sample sentence, with a dependent clause.','i',1
'This is a sample sentence, with a dependent clause.','j',0
'Thjs is a sample sentence, with a dependent clause.','i',1
'This is a sample sentence, with a dependent clause.','t',0
'Thit is a sample sentence, with a dependent clause.','s',1
'This is a sample sentence, with a dependent clause.','0',0
'This0is a sample sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','"',0
'This"is a sample sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','!',0
'This!is a sample sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','q',0
'This qs a sample sentence, with a dependent clause.','i',1
'This is a sample sentence, with a dependent clause.','j',0
'This js a sample sentence, with a dependent clause.','i',1
'This is a sample sentence, with a dependent clause.','t',0
'This it a sample sentence, with a dependent clause.','s',1
'This is a sample sentence, with a dependent clause.','0',0
'This is0a sample sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','"',0
'This is"a sample sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','!',0
'This is!a sample sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','q',0
'This is q sample sentence, with a dependent clause.','a',1
'This is a sample sentence, with a dependent clause.','i',0
'This is i sample sentence, with a dependent clause.','a',1
'This is a sample sentence, with a dependent clause.','b',0
'This is b sample sentence, with a dependent clause.','a',1
'This is a sample sentence, with a dependent clause.','0',0
'This is a0sample sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','"',0
'This is a"sample sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','!',0
'This is a!sample sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','t',0
'This is a tample sentence, with a dependent clause.','s',1
'This is a sample sentence, with a dependent clause.','q',0
'This is a sqmple sentence, with a dependent clause.','a',1
'This is a sample sentence, with a dependent clause.','i',0
'This is a simple sentence, with a dependent clause.','a',1
'This is a sample sentence, with a dependent clause.','b',0
'This is a sbmple sentence, with a dependent clause.','a',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sauple sentence, with a dependent clause.','m',1
'This is a sample sentence, with a dependent clause.','n',0
'This is a sanple sentence, with a dependent clause.','m',1
'This is a sample sentence, with a dependent clause.','q',0
'This is a samqle sentence, with a dependent clause.','p',1
'This is a sample sentence, with a dependent clause.','t',0
'This is a sampte sentence, with a dependent clause.','l',1
'This is a sample sentence, with a dependent clause.','m',0
'This is a sampme sentence, with a dependent clause.','l',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a samplu sentence, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','m',0
'This is a samplm sentence, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','f',0
'This is a samplf sentence, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','0',0
'This is a sample0sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','"',0
'This is a sample"sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','!',0
'This is a sample!sentence, with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','t',0
'This is a sample tentence, with a dependent clause.','s',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sample suntence, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','m',0
'This is a sample smntence, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','f',0
'This is a sample sfntence, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','v',0
'This is a sample sevtence, with a dependent clause.','n',1
'This is a sample sentence, with a dependent clause.','o',0
'This is a sample seotence, with a dependent clause.','n',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sample senuence, with a dependent clause.','t',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sample sentunce, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','m',0
'This is a sample sentmnce, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','f',0
'This is a sample sentfnce, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','v',0
'This is a sample sentevce, with a dependent clause.','n',1
'This is a sample sentence, with a dependent clause.','o',0
'This is a sample senteoce, with a dependent clause.','n',1
'This is a sample sentence, with a dependent clause.','s',0
'This is a sample sentense, with a dependent clause.','c',1
'This is a sample sentence, with a dependent clause.','k',0
'This is a sample sentenke, with a dependent clause.','c',1
'This is a sample sentence, with a dependent clause.','d',0
'This is a sample sentende, with a dependent clause.','c',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sample sentencu, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','m',0
'This is a sample sentencm, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','f',0
'This is a sample sentencf, with a dependent clause.','e',1
'This is a sample sentence, with a dependent clause.','l',0
'This is a sample sentencel with a dependent clause.',',',1
'This is a sample sentence, with a dependent clause.','4',0
'This is a sample sentence4 with a dependent clause.',',',1
'This is a sample sentence, with a dependent clause.','.',0
'This is a sample sentence. with a dependent clause.',',',1
'This is a sample sentence, with a dependent clause.','-',0
'This is a sample sentence- with a dependent clause.',',',1
'This is a sample sentence, with a dependent clause.','0',0
'This is a sample sentence,0with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','"',0
'This is a sample sentence,"with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','!',0
'This is a sample sentence,!with a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','x',0
'This is a sample sentence, xith a dependent clause.','w',1
'This is a sample sentence, with a dependent clause.','q',0
'This is a sample sentence, wqth a dependent clause.','i',1
'This is a sample sentence, with a dependent clause.','j',0
'This is a sample sentence, wjth a dependent clause.','i',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sample sentence, wiuh a dependent clause.','t',1
'This is a sample sentence, with a dependent clause.','p',0
'This is a sample sentence, witp a dependent clause.','h',1
'This is a sample sentence, with a dependent clause.','i',0
'This is a sample sentence, witi a dependent clause.','h',1
'This is a sample sentence, with a dependent clause.','0',0
'This is a sample sentence, with0a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','"',0
'This is a sample sentence, with"a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','!',0
'This is a sample sentence, with!a dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','q',0
'This is a sample sentence, with q dependent clause.','a',1
'This is a sample sentence, with a dependent clause.','i',0
'This is a sample sentence, with i dependent clause.','a',1
'This is a sample sentence, with a dependent clause.','b',0
'This is a sample sentence, with b dependent clause.','a',1
'This is a sample sentence, with a dependent clause.','0',0
'This is a sample sentence, with a0dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','"',0
'This is a sample sentence, with a"dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','!',0
'This is a sample sentence, with a!dependent clause.',' ',1
'This is a sample sentence, with a dependent clause.','t',0
'This is a sample sentence, with a tependent clause.','d',1
'This is a sample sentence, with a dependent clause.','l',0
'This is a sample sentence, with a lependent clause.','d',1
'This is a sample sentence, with a dependent clause.','e',0
'This is a sample sentence, with a eependent clause.','d',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sample sentence, with a dupendent clause.','e',1
'This is a sample sentence, with a dependent clause.','m',0
'This is a sample sentence, with a dmpendent clause.','e',1
'This is a sample sentence, with a dependent clause.','f',0
'This is a sample sentence, with a dfpendent clause.','e',1
'This is a sample sentence, with a dependent clause.','q',0
'This is a sample sentence, with a deqendent clause.','p',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sample sentence, with a depundent clause.','e',1
'This is a sample sentence, with a dependent clause.','m',0
'This is a sample sentence, with a depmndent clause.','e',1
'This is a sample sentence, with a dependent clause.','f',0
'This is a sample sentence, with a depfndent clause.','e',1
'This is a sample sentence, with a dependent clause.','v',0
'This is a sample sentence, with a depevdent clause.','n',1
'This is a sample sentence, with a dependent clause.','o',0
'This is a sample sentence, with a depeodent clause.','n',1
'This is a sample sentence, with a dependent clause.','t',0
'This is a sample sentence, with a depentent clause.','d',1
'This is a sample sentence, with a dependent clause.','l',0
'This is a sample sentence, with a depenlent clause.','d',1
'This is a sample sentence, with a dependent clause.','e',0
'This is a sample sentence, with a depeneent clause.','d',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sample sentence, with a dependunt clause.','e',1
'This is a sample sentence, with a dependent clause.','m',0
'This is a sample sentence, with a dependmnt clause.','e',1
'This is a sample sentence, with a dependent clause.','f',0
'This is a sample sentence, with a dependfnt clause.','e',1
'This is a sample sentence, with a dependent clause.','v',0
'This is a sample sentence, with a dependevt clause.','n',1
'This is a sample sentence, with a dependent clause.','o',0
'This is a sample sentence, with a dependeot clause.','n',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sample sentence, with a dependenu clause.','t',1
'This is a sample sentence, with a dependent clause.','0',0
'This is a sample sentence, with a dependent0clause.',' ',1
'This is a sample sentence, with a dependent clause.','"',0
'This is a sample sentence, with a dependent"clause.',' ',1
'This is a sample sentence, with a dependent clause.','!',0
'This is a sample sentence, with a dependent!clause.',' ',1
'This is a sample sentence, with a dependent clause.','s',0
'This is a sample sentence, with a dependent slause.','c',1
'This is a sample sentence, with a dependent clause.','k',0
'This is a sample sentence, with a dependent klause.','c',1
'This is a sample sentence, with a dependent clause.','d',0
'This is a sample sentence, with a dependent dlause.','c',1
'This is a sample sentence, with a dependent clause.','t',0
'This is a sample sentence, with a dependent ctause.','l',1
'This is a sample sentence, with a dependent clause.','m',0
'This is a sample sentence, with a dependent cmause.','l',1
'This is a sample sentence, with a dependent clause.','q',0
'This is a sample sentence, with a dependent clquse.','a',1
'This is a sample sentence, with a dependent clause.','i',0
'This is a sample sentence, with a dependent cliuse.','a',1
'This is a sample sentence, with a dependent clause.','b',0
'This is a sample sentence, with a dependent clbuse.','a',1
'This is a sample sentence, with a dependent clause.','v',0
'This is a sample sentence, with a dependent clavse.','u',1
'This is a sample sentence, with a dependent clause.','t',0
'This is a sample sentence, with a dependent claute.','s',1
'This is a sample sentence, with a dependent clause.','u',0
'This is a sample sentence, with a dependent clausu.','e',1
'This is a sample sentence, with a dependent clause.','m',0
'This is a sample sentence, with a dependent clausm.','e',1
'This is a sample sentence, with a dependent clause.','f',0
'This is a sample sentence, with a dependent clausf.','e',1
'This is a sample sentence, with a dependent clause.','6',0
'This is a sample sentence, with a dependent clause6','.',1
'This is a sample sentence, with a dependent clause.','0',0
'This is a sample sentence, with a dependent clause0','.',1
'This is a sample sentence, with a dependent clause.','/',0
'This is a sample sentence, with a dependent clause/','.',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','g',0
'gouldn’t it be lovely to enjoy a week soaking up the culture?','W',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','X',0
'Xouldn’t it be lovely to enjoy a week soaking up the culture?','W',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','w',0
'Wwuldn’t it be lovely to enjoy a week soaking up the culture?','o',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','p',0
'Wpuldn’t it be lovely to enjoy a week soaking up the culture?','o',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','v',0
'Wovldn’t it be lovely to enjoy a week soaking up the culture?','u',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','t',0
'Woutdn’t it be lovely to enjoy a week soaking up the culture?','l',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','m',0
'Woumdn’t it be lovely to enjoy a week soaking up the culture?','l',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','t',0
'Woultn’t it be lovely to enjoy a week soaking up the culture?','d',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','l',0
'Woulln’t it be lovely to enjoy a week soaking up the culture?','d',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','e',0
'Woulen’t it be lovely to enjoy a week soaking up the culture?','d',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','v',0
'Wouldv’t it be lovely to enjoy a week soaking up the culture?','n',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','o',0
'Wouldo’t it be lovely to enjoy a week soaking up the culture?','n',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','b',0
'Wouldnb⸮⸮t it be lovely to enjoy a week soaking up the culture?','⸮',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','u',0
'Wouldn’u it be lovely to enjoy a week soaking up the culture?','t',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','0',0
'Wouldn’t0it be lovely to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','"',0
'Wouldn’t"it be lovely to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','!',0
'Wouldn’t!it be lovely to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','q',0
'Wouldn’t qt be lovely to enjoy a week soaking up the culture?','i',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','j',0
'Wouldn’t jt be lovely to enjoy a week soaking up the culture?','i',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','u',0
'Wouldn’t iu be lovely to enjoy a week soaking up the culture?','t',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','0',0
'Wouldn’t it0be lovely to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','"',0
'Wouldn’t it"be lovely to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','!',0
'Wouldn’t it!be lovely to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','r',0
'Wouldn’t it re lovely to enjoy a week soaking up the culture?','b',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','j',0
'Wouldn’t it je lovely to enjoy a week soaking up the culture?','b',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','c',0
'Wouldn’t it ce lovely to enjoy a week soaking up the culture?','b',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','u',0
'Wouldn’t it bu lovely to enjoy a week soaking up the culture?','e',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','m',0
'Wouldn’t it bm lovely to enjoy a week soaking up the culture?','e',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','f',0
'Wouldn’t it bf lovely to enjoy a week soaking up the culture?','e',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','0',0
'Wouldn’t it be0lovely to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','"',0
'Wouldn’t it be"lovely to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','!',0
'Wouldn’t it be!lovely to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','t',0
'Wouldn’t it be tovely to enjoy a week soaking up the culture?','l',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','m',0
'Wouldn’t it be movely to enjoy a week soaking up the culture?','l',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','w',0
'Wouldn’t it be lwvely to enjoy a week soaking up the culture?','o',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','p',0
'Wouldn’t it be lpvely to enjoy a week soaking up the culture?','o',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','w',0
'Wouldn’t it be lowely to enjoy a week soaking up the culture?','v',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','u',0
'Wouldn’t it be lovuly to enjoy a week soaking up the culture?','e',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','m',0
'Wouldn’t it be lovmly to enjoy a week soaking up the culture?','e',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','f',0
'Wouldn’t it be lovfly to enjoy a week soaking up the culture?','e',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','t',0
'Wouldn’t it be lovety to enjoy a week soaking up the culture?','l',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','m',0
'Wouldn’t it be lovemy to enjoy a week soaking up the culture?','l',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','z',0
'Wouldn’t it be lovelz to enjoy a week soaking up the culture?','y',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','0',0
'Wouldn’t it be lovely0to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','"',0
'Wouldn’t it be lovely"to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','!',0
'Wouldn’t it be lovely!to enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','u',0
'Wouldn’t it be lovely uo enjoy a week soaking up the culture?','t',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','w',0
'Wouldn’t it be lovely tw enjoy a week soaking up the culture?','o',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','p',0
'Wouldn’t it be lovely tp enjoy a week soaking up the culture?','o',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','0',0
'Wouldn’t it be lovely to0enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','"',0
'Wouldn’t it be lovely to"enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','!',0
'Wouldn’t it be lovely to!enjoy a week soaking up the culture?',' ',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','u',0
'Wouldn’t it be lovely to unjoy a week soaking up the culture?','e',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','m',0
'Wouldn’t it be lovely to mnjoy a week soaking up the culture?','e',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','f',0
'Wouldn’t it be lovely to fnjoy a week soaking up the culture?','e',1
'Wouldn’t it be lovely to enjoy a week soaking up the culture?','v',0
